0.43,0.11,0.37,0.85,0.90,0.56,0.73,0.36,0.97,0.41,0.00,0.00,0.00,0.00,0.21,0.46,0.33,0.93,0.67,0.00,0.48
1,0.1,0.39,0.8,0.87,0.52,0.72,0.38,0.86,0.42,0,0,0,0,0.21,0.43,0.31,0.86,0.6,0,1
1,0.2,0.36,0.8,0.9,0.52,0.72,0.37,0.89,0.43,0,0,0,0,0.22,0.5,0.37,0.85,0.63,0,1
0.48,0.03,0.33,0.74,0.74,0.5,0.56,0.2,0.2,0.43,0.07,0.94,0.78,1,0.22,0.43,0.16,1,0.2,0.05,0.48
0.46,0.02,0.21,0.47,0.67,0.57,0.3,0.2,0.2,0.36,0.21,0.43,0.51,0.42,1,0.06,0.26,0.88,0.39,0.09,0.46
0.43,0.03,0.38,0.66,0.84,0.39,0.6,0.2,0.2,0.41,0.23,0.65,0.31,1,0.23,0.2,0.18,0.87,0.2,0.2,0.43
0.48,0.03,0.38,0.79,0.84,0.53,0.73,0.2,0.2,0.42,0.23,0.8,0.68,1,0.21,0.48,0.37,0.85,0.2,0.05,0.48
1,0.94,1,1,0.87,1,1,0.95,0.9,1,1,0.94,1,1,0.87,1,1,0.95,0.9,1,1
